UID,formula,Egap,Ecbm,Evbm,Evac,Efermi,wf,EA,IE,work_function
1638,Sr1 Br2,4.4449,-1.9875,-6.4324,1.204507083,-6.21324264,7.417749723,3.192007083,7.636907083,5.414457083
1437,Pb1 Cl2,3.1358,-3.0138,-6.1496,1.187837055,-5.93318663,7.121023685,4.201637055,7.337437055,5.769537055
2660,Hf1 Te2,0.2814,-3.2047,-3.4861,1.912273441,-3.34392889,5.256202331,5.116973441,5.398373441,5.257673441
1636,Sn1 Cl2,2.703,-3.1048,-5.8078,1.351841358,-5.58911782,6.940959178,4.456641358,7.159641358,5.808141358
1464,Sr1 I2,4.1848,-1.2906,-5.4754,1.374755723,-5.26105221,6.635807933,2.665355723,6.850155723,4.757755723
1551,Ba1 I2,3.5389,-1.9375,-5.4764,1.436232838,-5.2610522,6.697285038,3.373732838,6.912632838,5.143182838
2826,Zr1 S2,1.0272,-3.8771,-4.9043,1.456543209,-4.69293859,6.149481799,5.333643209,6.360843209,5.847243209
119,Ga1 As1,1.197,-3.3693,-4.5663,1.021438458,-4.34886977,5.370308228,4.390738458,5.587738458,4.989238458
117,B1 P1,0.9055,-3.3741,-4.2796,0.849589134,-4.06881376,4.918402894,4.223689134,5.129189134,4.676439134
3504,Zr2 Se2,0.3156,-2.7055,-3.0211,2.07353646,-2.86002685,4.93356331,4.77903646,5.09463646,4.93683646
2722,Pb1 O2,1.3575,-5.6574,-7.0149,1.187717395,-6.79735946,7.985076855,6.845117395,8.202617395,7.523867395
2725,Pb1 S2,2.3713,-2.1145,-4.4858,0.920895656,-4.26885376,5.189749416,3.035395656,5.406695656,4.221045656
827,Bi2 Te2,0.667,-2.386,-3.053,1.589402708,-2.84456891,4.433971618,3.975402708,4.642402708,4.308902708
2687,Mo1 O2,1.0108,-4.3829,-5.3937,1.421997606,-5.18103621,6.603033816,5.804897606,6.815697606,6.310297606
896,Ti2 Te2,,,,2.342267905,-2.05460379,4.396871695,,,4.596277
1383,Cd1 Br2,3.3108,-2.7524,-6.0632,1.148264189,-5.84516903,6.993433219,3.900664189,7.211464189,5.556064189
1436,Pb1 Br2,2.8606,-2.9232,-5.7838,1.203583148,-5.56511302,6.768696168,4.126783148,6.987383148,5.557083148
1380,Ca1 Br2,5.0273,-1.3717,-6.399,1.206604259,-6.18123624,7.387840499,2.578304259,7.605604259,5.091954259
