,huid,lat_a,lat_b,lat_c
172,huid-1302-AB,4.351497068399892,4.351496809712219,38.0
173,huid-1667-AA,3.6020026332179986,3.6023502401987395,38.0
174,huid-5139-AB,3.5562034625041146,3.556203423726357,38.0
175,huid-12662-AA,3.507972755200149,3.5079186622493346,38.0
176,huid-10675-AA,3.5996095367878684,3.5997478671654384,38.0
177,huid-12688-AB,3.4921267151346425,3.4921824790596925,38.0
178,huid-11350-AB,3.78337109593848,3.783576381387779,38.0
179,huid-10322-AB,4.285830420316767,4.285865769835453,38.0
180,huid-14393-AB,2.8798159790320055,2.879977853458833,38.0
181,huid-12742-AA,3.976272737819879,3.976264802049425,38.0
182,huid-6547-AA,3.688915548935203,3.6889143423441477,38.0
183,huid-8190-AA,4.341745839614714,4.341733796601454,38.0
184,huid-4209-AA,3.607689951294337,3.6076770966734903,38.0
185,huid-10386-AB,3.8425417846920253,3.842371809520595,38.0
186,huid-12394-AA,3.8457862474590727,3.845789313913079,38.0
187,huid-271-AA,3.7927058219263525,3.7926034081723716,38.0
188,huid-1159-AB,3.5140549688819527,3.5140422269024914,38.0
189,huid-2694-AB,3.2976630149652393,3.2976636023806423,38.0
190,huid-1749-AB,3.5749008988788806,3.5748608587441915,38.0
191,huid-14177-AB,3.5533224576462668,3.5532801821885713,38.0
192,huid-4957-AA,3.2587427069892723,3.258675731564725,38.0
193,huid-15004-AB,3.7145410412145994,3.714549300081705,38.0
194,huid-28-AB,3.19596929555474,3.19596923475424,38.0
195,huid-12490-AB,3.6394292121428817,3.6393631423253665,38.0
196,huid-10383-AA,3.9119976433994625,3.9120730970963735,38.0
197,huid-3951-AA,3.713806779713763,3.7138068554542087,38.0
198,huid-13950-AA,3.775843490979531,3.7758428632648124,38.0
199,huid-4144-AB,3.6273234283237987,3.627328380538219,38.0
200,huid-13711-AA,4.016961716578088,4.016976869235662,38.0
201,huid-6299-AB,4.493764756870468,4.493728324630993,38.0
202,huid-7125-AA,3.5287547854792254,3.5287563332679324,38.0
203,huid-15471-AA,4.252122881529374,4.252098519592306,38.0
204,huid-8569-AA,3.7755287041531993,3.775501471537211,38.0
205,huid-1534-AB,4.041316364311632,4.041321808726781,38.0
206,huid-9283-AA,3.9753636521069646,3.9753322004963194,38.0
207,huid-7282-AA,3.662467252315223,3.662468960184199,38.0
208,huid-13020-AB,3.990574816534608,3.990597009070034,38.0
209,huid-13642-AA,3.6242915558846036,3.6243062778262503,38.0
210,huid-12430-AB,3.7816722063465513,3.7816708759022,38.0
211,huid-3358-AB,3.8830319395683905,3.8830328584604223,38.0
212,huid-4838-AB,3.1500911941381684,3.150060628841381,38.0
213,huid-14368-AB,3.7164989534908996,3.716550344304554,38.0
214,huid-9962-AB,3.545058565637563,3.545063045593905,38.0
215,huid-290-AA,3.7838619707429824,3.783862266673871,38.0
216,huid-5252-AB,4.200565577066879,4.200490337266739,38.0
217,huid-4421-AA,4.049570878492069,4.049570912829681,38.0
218,huid-10999-AB,4.141685566424294,4.142087021138436,38.0
219,huid-4840-AA,3.1885752346627747,3.18857326279841,38.0
220,huid-1608-AA,3.6114572760298214,3.61145706674818,38.0
221,huid-12224-AB,4.345189940592907,4.344444018318109,38.0
222,huid-10915-AA,4.1420768232166845,4.142135309072779,38.0
223,huid-6750-AB,3.7109344534918005,3.7109344567332827,38.0
224,huid-8604-AB,3.673796211273594,3.6737964937553813,38.0
225,huid-6128-AB,3.87789689385738,3.8778977691608554,38.0
226,huid-9024-AA,3.790121673345797,3.790121901856415,38.0
227,huid-12632-AB,3.222698747591278,3.222692732886307,38.0
228,huid-9274-AA,3.9803484130170084,3.980348105481881,38.0
229,huid-10677-AA,3.5560717313267634,3.5557309509972663,38.0
230,huid-13990-AB,3.769694646436498,3.7696945191928743,38.0
231,huid-14759-AA,4.026583972639938,4.026586555476344,38.0
232,huid-13046-AB,3.9775921801966367,3.9775997631346707,38.0
233,huid-12857-AB,4.128732957264327,4.128779215514856,38.0
234,huid-15004-AA,3.714012911134908,3.714016446698385,38.0
235,huid-9858-AB,4.011783844924419,4.011786305562218,38.0
236,huid-5943-AA,3.248719611492384,3.24871957226004,38.0
237,huid-3299-AA,3.8648699941339535,3.86486964176308,38.0
238,huid-11613-AB,3.579015863502206,3.578044166010385,38.0
239,huid-1328-AA,4.34770308014372,4.34799000988839,38.0
240,huid-11668-AB,3.6584635932701257,3.658008747737182,38.0
241,huid-9658-AB,3.7964798191023754,3.7965240178876134,38.0
242,huid-6871-AB,3.6749025214726725,3.674903552914247,38.0
